sample_id,sequence_label,crop,tissue,collection_date,location,gps_latitude,gps_longitude,elevation,plant_id,plant_stage,state
6198,sample6146,Zea mays,Leaf,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,1,V4,CO
6198,sample6476,Zea mays,Leaf,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,1,V4,CO
6199,sample6147,Zea mays,Leaf,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,2,V4,CO
6199,sample6477,Zea mays,Leaf,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,2,V4,CO
6200,sample6148,Zea mays,Leaf,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,3,V5,CO
6200,sample6478,Zea mays,Leaf,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,3,V5,CO
6201,sample6149,Zea mays,Leaf,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,4,V4,CO
6201,sample6479,Zea mays,Leaf,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,4,V4,CO
6202,sample6150,Zea mays,Leaf,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,5,V4,CO
6202,sample6480,Zea mays,Leaf,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,5,V4,CO
6203,sample6151,Zea mays,Root,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,1,V4,CO
6204,sample6152,Zea mays,Root,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,2,V4,CO
6204,sample6482,Zea mays,Root,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,2,V4,CO
6205,sample6153,Zea mays,Root,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,3,V5,CO
6205,sample6483,Zea mays,Root,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,3,V5,CO
6206,sample6154,Zea mays,Root,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,4,V4,CO
6206,sample6484,Zea mays,Root,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,4,V4,CO
6207,sample6155,Zea mays,Root,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,5,V4,CO
6207,sample6485,Zea mays,Root,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,5,V4,CO
6208,sample5352,Zea mays,Root wash,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,1,V4,CO
6208,sample5502,Zea mays,Root wash,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,1,V4,CO
6209,sample5353,Zea mays,Root wash,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,2,V4,CO
6209,sample5503,Zea mays,Root wash,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,2,V4,CO
6210,sample5354,Zea mays,Root wash,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,3,V5,CO
6210,sample5504,Zea mays,Root wash,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,3,V5,CO
6211,sample5355,Zea mays,Root wash,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,4,V4,CO
6211,sample5505,Zea mays,Root wash,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,4,V4,CO
6212,sample5356,Zea mays,Root wash,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,5,V4,CO
6212,sample5506,Zea mays,Root wash,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,5,V4,CO
6213,sample5208,Zea mays,Soil,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,1,V4,CO
6213,sample5358,Zea mays,Soil,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,1,V4,CO
6214,sample5209,Zea mays,Soil,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,2,V4,CO
6214,sample5359,Zea mays,Soil,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,2,V4,CO
6215,sample5210,Zea mays,Soil,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,3,V5,CO
6215,sample5360,Zea mays,Soil,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,3,V5,CO
6216,sample5211,Zea mays,Soil,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,4,V4,CO
6216,sample5361,Zea mays,Soil,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,4,V4,CO
6217,sample5212,Zea mays,Soil,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,5,V4,CO
6217,sample5362,Zea mays,Soil,6/14/2017,COH1,40.64843369,-105.0002747,1547.5,5,V4,CO
6218,sample6156,Zea mays,Leaf,6/1/2017,DEH1,38.6699028,-75.43364716,13.5,1,V9,DE
6218,sample6486,Zea mays,Leaf,6/1/2017,DEH1,38.6699028,-75.43364716,13.5,1,V9,DE
6219,sample6157,Zea mays,Leaf,6/1/2017,DEH1,38.6699028,-75.43364716,13.5,2,V9,DE
6219,sample6487,Zea mays,Leaf,6/1/2017,DEH1,38.6699028,-75.43364716,13.5,2,V9,DE
6220,sample6158,Zea mays,Leaf,6/1/2017,DEH1,38.6699028,-75.43364716,13.5,3,V9,DE
6220,sample6488,Zea mays,Leaf,6/1/2017,DEH1,38.6699028,-75.43364716,13.5,3,V9,DE
6221,sample6159,Zea mays,Leaf,6/1/2017,DEH1,38.6699028,-75.43364716,13.5,4,V10,DE
6221,sample6489,Zea mays,Leaf,6/1/2017,DEH1,38.6699028,-75.43364716,13.5,4,V10,DE
6222,sample6160,Zea mays,Leaf,6/1/2017,DEH1,38.6699028,-75.43364716,13.5,5,V9,DE
6222,sample6490,Zea mays,Leaf,6/1/2017,DEH1,38.6699028,-75.43364716,13.5,5,V9,DE
6223,sample6161,Zea mays,Root,6/1/2017,DEH1,38.6699028,-75.43364716,13.5,1,V9,DE
6223,sample6491,Zea mays,Root,6/1/2017,DEH1,38.6699028,-75.43364716,13.5,1,V9,DE
